algorithm,confusion matrix,accuracy,precision,recall,rand index,mutual information based score,homogeneity,completeness,v-measure
KMeans,"[[44247 52529]
 [ 1982  3522]]",0.46704145482987874,0.06283563183529285,0.6398982558139535,0.5021676640516328,0.002184428376389188,0.0047034957230950815,0.0014317769335397148,0.0021952917368872216
KMeans balanced,"[[2510 2994]
 [1982 3522]]",0.5479651162790697,0.5405156537753223,0.6398982558139535,0.5045562971555099,0.006902603635354442,0.006883044202761846,0.007056100390223264,0.006968498039610474
hierarchical clustering balanced,"[[2235 3269]
 [1809 3695]]",0.5386991279069767,0.5305858701895463,0.6713299418604651,0.5029500914851226,0.004710585488727016,0.004654826112622531,0.004906889882933936,0.004777535574045239
HDBSCAN,"[[60982 35794]
 [ 3821  1683]]",0.6126808760265937,0.04490754329321984,0.30577761627906974,0.525389319336452,0.0010546520006790992,0.002203659306060345,0.0007029792100022848,0.001065923175192044
HDBSCAN balanced,"[[3833 1671]
 [4323 1181]]",0.4554869186046512,0.41409537166900423,0.21457122093023256,0.5039177632204453,0.008118276726693439,0.007474404426992449,0.009055916827161253,0.00818950627549372
OPTICS,"[[54679 42097]
 [ 3024  2480]]",0.5588482596793117,0.05563407138210288,0.45058139534883723,0.5069214144645485,4.51883288328487e-05,0.0001197504487552132,3.664658393029238e-05,5.6119285585458625e-05
OPTICS balanced,"[[2526 2978]
 [2944 2560]]",0.46202761627906974,0.4622607439508848,0.46511627906976744,0.5028386402099299,0.004099404531797811,0.004164617763730192,0.004164732403522595,0.004164675082837479
BIRCH,"[[39817 56959]
 [ 1844  3660]]",0.4250782166601486,0.0603771094871245,0.6649709302325582,0.5112217684125437,0.0014096204785833304,0.003000886996425851,0.000930601586292221,0.0014206477472341451
BIRCH balanced,"[[2235 3269]
 [1809 3695]]",0.5386991279069767,0.5305858701895463,0.6713299418604651,0.5029500914851226,0.004710585488727016,0.004654826112622531,0.004906889882933936,0.004777535574045239
