algorithm,confusion matrix,accuracy,precision,recall,rand index,mutual information based score,homogeneity,completeness,v-measure
KMeans,"[[44205 52571]
 [ 1980  3524]]",0.4666503715291357,0.06282199839557893,0.6402616279069767,0.5022195285975444,0.0021820048684375996,0.004697869967715568,0.0014302373484183814,0.00219286926263515
KMeans balanced,"[[2489 3015]
 [1980 3524]]",0.5462390988372093,0.5389203242085946,0.6402616279069767,0.5042310713742417,0.006423442844229844,0.0064061477646135045,0.00657485880641667,0.006489406936958811
hierarchical clustering balanced,"[[2495 3009]
 [1983 3521]]",0.5465116279069767,0.5392036753445636,0.6397165697674418,0.5042816305057458,0.006494632715352355,0.0064778709925270295,0.006645422510400183,0.006560577145303562
HDBSCAN,"[[55654 41122]
 [ 3603  1901]]",0.5627199843566679,0.044185668130999695,0.34538517441860467,0.5078627812092028,0.0015031655794270145,0.003215079716492871,0.0009902437554466827,0.0015141344696853886
HDBSCAN balanced,"[[2775 2729]
 [3265 2239]]",0.4554869186046512,0.4506843800322061,0.40679505813953487,0.5039177632204453,0.005734394414006471,0.005779911513111577,0.005819787636031406,0.005799781033777516
OPTICS,"[[63715 33061]
 [ 3571  1933]]",0.6418459131795072,0.055238040806995486,0.35119912790697677,0.5402360310211929,1.2771080941756217e-05,4.92845901810211e-05,1.607876362589584e-05,2.424708127005342e-05
OPTICS balanced,"[[3288 2216]
 [3592 1912]]",0.47238372093023256,0.4631782945736434,0.34738372093023256,0.501480030678152,0.002336740468851635,0.0023488884808403414,0.002461027659997358,0.002403650854748784
BIRCH,"[[43910 52866]
 [ 1987  3517]]",0.4636976926085256,0.06237695759360091,0.6389898255813954,0.5026308522246902,0.0019939308937430337,0.004292276272445653,0.0013078271105858644,0.002004804158522539
BIRCH balanced,"[[1648 3856]
 [1526 3978]]",0.5110828488372093,0.5077865713556293,0.7227470930232558,0.5002002557569073,0.0003925470829329004,0.0004318718724357749,0.0004983740495546836,0.0004627458801303695
