algorithm,confusion matrix,accuracy,precision,recall,rand index,mutual information based score,homogeneity,completeness,v-measure
KMeans,"[[1482 1038]
 [2021 2209]]",0.5468148148148149,0.68032029565753,0.5222222222222223,0.5043098181898004,0.008353008495087574,0.008664735356212799,0.008267781692862743,0.008461605577477674
hierarchical clustering,"[[2119  401]
 [1872 2358]]",0.6632592592592592,0.8546574845958681,0.5574468085106383,0.5532409849470155,0.12340587534185737,0.12496955239048377,0.12207051751557847,0.12350302475057871
HDBSCAN,"[[ 223 2297]
 [ 557 3673]]",0.5771851851851851,0.6152428810720268,0.868321513002364,0.5118427860368888,0.004190146818136114,0.003341922367896357,0.0061681030539595515,0.0043350718108794515
OPTICS,"[[ 715 1805]
 [1185 3045]]",0.557037037037037,0.6278350515463917,0.7198581560283688,0.5064333261992174,-0.00010623160818339763,1.1264362946949519e-05,1.252202904485347e-05,1.1859947489478956e-05
BIRCH,"[[2119  401]
 [1872 2358]]",0.6632592592592592,0.8546574845958681,0.5574468085106383,0.5532409849470155,0.12340587534185737,0.12496955239048377,0.12207051751557847,0.12350302475057871
